Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DDIBBB,AD19,F,Profesional,CIS,83.07,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Sin informacion
DDIBBD,AD19,M,Profesional,NEG,85,1190,1,NO,Perfil A,Si,0,0.25,19,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIBBE,AD19,F,Profesional,IIT,96.6,1470,1,SI,Perfil A+,Si,0.45,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DDIBBJ,AD19,M,Profesional,IBQ,84.82,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DDIBBK,AD19,F,Profesional,IIT,91.3,1240,1,SI,Perfil A+,No,0,0,19,6,Bajo,Urbano,No,Si,Sin información,Local,Si
DDIBDE,AD19,F,Profesional,ESC,83.53,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Local,Si
DDIBEG,AD19,F,Profesional,CIS,91.45,1180,1,SI,Perfil A+,Si,0.45,0.25,19,6,Bajo,Urbano,Si,Si,Sin información,Local,Si
DDIBEI,AD19,F,Profesional,NEG,80.42,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Local,Si
DDIBEK,AD19,F,Profesional,AMC,86.57,,1,SI,NC,Si,0.25,0.25,18,6,Bajo,Urbano,Si,No,Sin información,Local,No
DDIBFC,AD19,F,Profesional,NEG,91.55,,1,SI,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Local,Si
DDIBGC,AD19,M,Profesional,IIT,94.05,1570,1,SI,Perfil A+,Si,0.7,0,18,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DDIBGD,AD19,F,Profesional,IIT,96.5,1200,1,NO,Perfil A,No,0,0,18,6,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIBGK,AD19,F,Profesional,NEG,83.92,,1,SI,NC,Si,0.4,0,18,7,Bajo,Urbano,Si,No,Sin información,Local,Sin informacion
DDIBHF,AD19,M,Profesional,IIT,96,1170,1,NO,Perfil A,Si,0.9,0,19,7,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIDCI,AD19,F,Profesional,NEG,79.69,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DDIDCJ,AD19,M,Profesional,NEG,89.26,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DDIDCK,AD19,M,Profesional,IIT,81.88,1410,1,SI,NC,No,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DDIEIH,AD19,M,Profesional,ICT,82,1295,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIFIK,AD19,M,Profesional,IIT,97.5,1280,1,NO,Perfil A,Si,0,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIFKB,AD19,M,Profesional,ICT,97.6,1430,1,NO,Perfil A+,Si,0.2,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,No aplica
DDIFKC,AD19,F,Profesional,ICT,93.8,1420,1,NO,Perfil A+,Si,0.2,0,19,6,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIFKD,AD19,M,Profesional,IBQ,95,1370,1,NO,Perfil A+,Si,0.35,0.25,18,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIFKE,AD19,F,Profesional,NEG,96,1410,1,NO,Perfil A+,Si,0.65,0.25,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,No aplica
