Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
CBDJDJB,AD19,F,Profesional,NEG,97.5,1220,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJDJC,AD19,F,Profesional,IBQ,86.1,1410,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJD,AD19,F,Profesional,IIT,84,1220,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJE,AD19,M,Profesional,IIT,88.3,1320,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJF,AD19,F,Profesional,CIS,89.5,1241,1,NO,Perfil A,No,0,0,20,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJG,AD19,F,Profesional,NEG,92.5,1240,1,NO,Perfil A,No,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJH,AD19,F,Profesional,NEG,90,1400,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDJI,AD19,F,Profesional,IIT,90.5,1290,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDJJ,AD19,F,Profesional,NEG,99,1560,1,NO,Perfil A+,Si,0.7,0,18,Sin información,Sin información,Urbano,Si,No,Si,Local,No aplica
CBDJDJK,AD19,M,Profesional,CIS,97,1390,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDKB,AD19,F,Profesional,NEG,83,1210,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Sin información,No,No,Sin información,Foraneo Local,No aplica
CBDJDKC,AD19,F,Profesional,NEG,90,1370,1,NO,Perfil A+,No,0,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDKD,AD19,M,Profesional,CIS,83.3,1220,1,NO,Perfil A,Si,0.4,0,20,4,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDKE,AD19,M,Profesional,IIT,82.5,1470,1,NO,Perfil A,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDKF,AD19,F,Profesional,ESC,96.5,1450,1,NO,Perfil A+,Si,0.4,0,20,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDKG,AD19,F,Profesional,IBQ,99,1370,1,NO,Perfil A+,No,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJDKH,AD19,F,Profesional,IBQ,92.66,1460,1,NO,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,No,No,Foraneo Local,No aplica
CBDJDKI,AD19,M,Profesional,IBQ,94,1480,1,NO,Perfil A+,Si,0.4,0,19,4,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDKJ,AD19,F,Profesional,IIT,90,1300,1,NO,Perfil A,Si,0.1,0.1,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJDKK,AD19,F,Profesional,IIT,96.5,1190,1,NO,Perfil A,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEBB,AD19,F,Profesional,IIT,91,1510,1,NO,Perfil A+,Si,0.8,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
CBDJEBC,AD19,M,Profesional,IIT,84,1370,1,NO,Perfil A,Si,0,0,19,6,Bajo,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJEBD,AD19,F,Profesional,NEG,88.3,1450,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEBE,AD19,F,Profesional,IIT,99.5,1430,1,NO,Perfil A+,No,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJEBF,AD19,F,Profesional,CIS,95.2,1220,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEBG,AD19,M,Profesional,ICI,90,1360,1,NO,Perfil A+,No,0.1,0.1,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEBH,AD19,F,Profesional,NEG,90,1520,1,NO,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEBI,AD19,F,Profesional,IIT,90.4,1460,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEBJ,AD19,M,Profesional,NEG,90,1390,1,NO,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEBK,AD19,M,Profesional,IIT,82.2,1400,1,NO,Perfil A,No,0,0,20,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECB,AD19,M,Profesional,IIT,98.3,1380,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJECC,AD19,M,Profesional,AMC,89.5,1240,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJECD,AD19,M,Profesional,ICT,95,1540,1,NO,Perfil A+,No,0.5,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJECE,AD19,F,Profesional,NEG,97.8,1330,1,NO,Perfil A,No,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECF,AD19,F,Profesional,CIS,94,1510,1,NO,Perfil A+,Si,0.5,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJECG,AD19,F,Profesional,IBQ,82.5,1240,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECH,AD19,F,Profesional,NEG,81.5,1170,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECI,AD19,M,Profesional,IIT,86,1340,1,NO,Perfil A,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECJ,AD19,F,Profesional,CIS,90,1270,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJECK,AD19,F,Profesional,ESC,86.4,1300,1,NO,Perfil A,Si,0,0,18,6,Bajo,Urbano,No,No,Si,Local,No aplica
CBDJEDB,AD19,M,Profesional,ESC,90,1360,1,NO,Perfil A+,No,0.45,0.25,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEDC,AD19,F,Profesional,NEG,82,1290,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEDD,AD19,M,Profesional,IIT,83,1370,1,NO,Perfil A,Si,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEDE,AD19,F,Profesional,IIT,94,1430,1,NO,Perfil A+,No,0,0,19,7,Bajo,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJEDF,AD19,F,Profesional,NEG,93,1290,1,NO,Perfil A,Si,0.5,0,20,7,Bajo,Urbano,Si,Si,No,Local,No aplica
CBDJEDG,AD19,M,Profesional,ICT,89,1260,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEDH,AD19,F,Profesional,CIS,90,1200,1,NO,Perfil A,Si,0,0,18,7,Medio,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEDI,AD19,F,Profesional,IBQ,92.1,1330,1,NO,Perfil A,Si,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJEDJ,AD19,M,Profesional,IIT,92.55,1500,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Sin información,Si,No,Sin información,Extranjero,No aplica
CBDJEDK,AD19,F,Profesional,AMC,90,1360,1,NO,Perfil A+,Si,0.3,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
CBDJEEB,AD19,M,Profesional,IIT,90,1440,1,NO,Perfil A+,No,0.25,0.25,18,4,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEEC,AD19,F,Profesional,NEG,85.6,1450,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEED,AD19,F,Profesional,NEG,86.5,1350,1,NO,Perfil A,Si,0.2,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEEE,AD19,M,Profesional,IIT,83,1420,1,NO,Perfil A,Si,0.9,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEEF,AD19,M,Profesional,IIT,87,1190,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Si,Foraneo Local,No aplica
CBDJEEG,AD19,M,Profesional,IIT,84,1550,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJEEH,AD19,M,Profesional,IBQ,94.5,1540,1,NO,Perfil A+,Si,0.5,0,20,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEEI,AD19,F,Profesional,AMC,80.5,1210,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEEJ,AD19,F,Profesional,IBQ,100,1430,1,NO,Perfil A+,Si,0.5,0,18,Sin información,Sin información,Urbano,Si,No,Si,Foraneo Local,No aplica
CBDJEEK,AD19,M,Profesional,NEG,90,1280,1,NO,Perfil A,Si,0,0,19,6,Medio,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEFB,AD19,M,Profesional,IIT,89,1440,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Sin información,No,No,Sin información,Foraneo Local,No aplica
CBDJEFC,AD19,F,Profesional,IIT,93,1490,1,NO,Perfil A+,Si,0.4,0,18,4,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEFD,AD19,M,Profesional,IIT,93,1420,1,NO,Perfil A+,Si,0.4,0,20,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEFE,AD19,M,Profesional,IIT,80,1400,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEFF,AD19,F,Profesional,IIT,95,1410,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
CBDJEFG,AD19,M,Profesional,IIT,80,1190,1,NO,Perfil A,Si,0,0,19,6,Bajo,Sin información,No,No,Sin información,Foraneo Local,No aplica
CBDJEFH,AD19,F,Profesional,NEG,94.3,1230,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEFI,AD19,F,Profesional,IIT,87.02,1300,1,NO,Perfil A,No,0,0,18,6,Bajo,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJEFJ,AD19,F,Profesional,IBQ,95.2,1350,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJEFK,AD19,F,Profesional,NEG,91.25,1340,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGB,AD19,M,Profesional,AMC,90,1350,1,NO,Perfil A,Si,0.1,0.1,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEGC,AD19,M,Profesional,NEG,96,1500,1,NO,Perfil A+,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGE,AD19,M,Profesional,NEG,95.04,1430,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
CBDJEGF,AD19,M,Profesional,IIT,93.08,1250,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGG,AD19,F,Profesional,NEG,84,1340,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGH,AD19,F,Profesional,IIT,93,1310,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGI,AD19,M,Profesional,IIT,85.92,1490,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEGJ,AD19,F,Profesional,IBQ,98,1140,1,NO,Perfil B,No,0,0,20,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJEGK,AD19,F,Profesional,NEG,77.5,1350,1,NO,Perfil B,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEHB,AD19,F,Profesional,IBQ,93.9,1160,1,NO,Perfil B,No,0,0,19,6,Bajo,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJEHC,AD19,F,Profesional,IIT,88,1160,1,NO,Perfil B,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEHD,AD19,M,Profesional,CIS,77.5,1460,1,NO,Perfil B,Si,0,0,20,Sin información,Bajo,Urbano,No,No,No,Foraneo Local,No aplica
CBDJEHE,AD19,M,Profesional,IIT,76,1350,1,NO,Perfil B,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
CBDJEIH,AD19,F,Profesional,NEG,91,1460,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEII,AD19,F,Profesional,NEG,95,1260,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJEIJ,AD19,F,Profesional,IIT,94,1420,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEIK,AD19,F,Profesional,NEG,81.43,1230,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEJB,AD19,M,Profesional,NEG,90.35,1420,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEJJ,AD19,F,Profesional,IIT,90.4,1290,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEJK,AD19,M,Profesional,ICT,89.5,1280,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEKB,AD19,F,Profesional,IIT,81,1200,1,NO,Perfil A,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEKC,AD19,M,Profesional,NEG,78,1290,1,NO,Perfil B,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJEKD,AD19,M,Profesional,AMC,84,1300,1,NO,Perfil A,Si,0,0.25,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJEKE,AD19,F,Profesional,IIT,77.5,1410,1,NO,Perfil B,No,0,0,19,Sin información,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFFC,AD19,M,Profesional,NEG,81,1190,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFFD,AD19,M,Profesional,IIT,81,1250,1,NO,Perfil A,Si,0,0,19,Sin información,Bajo,Urbano,No,No,Sin información,Local,No aplica
CBDJFFE,AD19,F,Profesional,IIT,95,1430,1,NO,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJFFF,AD19,M,Profesional,NEG,80,1370,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFFG,AD19,M,Profesional,ICT,91,1260,1,NO,Perfil A,No,0,0,18,6,Bajo,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJFFH,AD19,M,Profesional,NEG,80.31,1370,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFFI,AD19,F,Profesional,CIS,85.33,1190,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJFFJ,AD19,F,Profesional,ESC,85,1390,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFFK,AD19,M,Profesional,IIT,88,1370,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGB,AD19,M,Profesional,NEG,94.75,1460,1,NO,Perfil A+,Si,0.8,0,18,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,No aplica
CBDJFGC,AD19,M,Profesional,NEG,90.7,1330,1,NO,Perfil A,Si,0.25,0.25,18,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
CBDJFGD,AD19,F,Profesional,IIT,89,1410,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGE,AD19,F,Profesional,ESC,87.6,1250,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGF,AD19,M,Profesional,IIT,96,1240,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGG,AD19,M,Profesional,IIT,87.5,1450,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGH,AD19,F,Profesional,ESC,92.75,1300,1,NO,Perfil A,No,0,0,19,Sin información,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFGI,AD19,F,Profesional,NEG,85,1230,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJFGJ,AD19,F,Profesional,ESC,94.38,1400,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Sin información,No,No,Sin información,Extranjero,No aplica
CBDJFGK,AD19,M,Profesional,NEG,83.67,1360,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFHB,AD19,F,Profesional,AMC,95,1430,1,NO,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJFHC,AD19,F,Profesional,NEG,97.1,1420,1,NO,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFHD,AD19,F,Profesional,ESC,80.5,1180,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJFHE,AD19,F,Profesional,ESC,83.5,1210,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJFHF,AD19,F,Profesional,NEG,94.5,1530,1,NO,Perfil A+,Si,0.5,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJFHG,AD19,F,Profesional,NEG,100,1460,1,NO,Perfil A+,Si,0.5,0,18,Sin información,Sin información,Urbano,Si,No,Si,Foraneo Local,No aplica
CBDJFHH,AD19,F,Profesional,NEG,89.6,1250,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Rural,No,No,Si,Local,No aplica
CBDJFHI,AD19,F,Profesional,CIS,97,1350,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFHJ,AD19,M,Profesional,IIT,92,1510,1,NO,Perfil A+,Si,0.4,0,18,4,Bajo,Urbano,Si,No,Si,Foraneo Local,No aplica
CBDJFHK,AD19,F,Profesional,ESC,90.32,1500,1,NO,Perfil A+,Si,0.9,0,19,Sin información,Sin información,Urbano,Si,No,No,Foraneo Local,No aplica
CBDJFIB,AD19,M,Profesional,ICT,90,1470,1,NO,Perfil A+,Si,0.4,0,18,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
CBDJFIC,AD19,M,Profesional,NEG,88,1300,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFID,AD19,F,Profesional,NEG,93,1350,1,NO,Perfil A,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFIE,AD19,M,Profesional,IIT,93,1270,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFIF,AD19,M,Profesional,NEG,93,1350,1,NO,Perfil A,Si,0.45,0.25,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJFIG,AD19,F,Profesional,NEG,82,1210,1,NO,Perfil A,Si,0.9,0,19,6,Bajo,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
CBDJFIH,AD19,F,Profesional,NEG,91,1210,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFII,AD19,M,Profesional,NEG,81,1290,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFIJ,AD19,F,Profesional,NEG,95.2,1180,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFIK,AD19,M,Profesional,AMC,83.46,1300,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Rural,No,No,Sin información,Local,No aplica
CBDJFJB,AD19,F,Profesional,NEG,94,1300,1,NO,Perfil A,No,0,0,19,Sin información,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJC,AD19,M,Profesional,IIT,83,1450,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Sin información,No,No,Sin información,Foraneo Local,No aplica
CBDJFJD,AD19,M,Profesional,ICT,89.5,1390,1,NO,Perfil A,Si,0,0,19,Sin información,Bajo,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJFJE,AD19,M,Profesional,ESC,92.2,1480,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJF,AD19,M,Profesional,IIT,90.9,1250,1,NO,Perfil A,No,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJG,AD19,M,Profesional,IIT,87.8,1150,1,NO,Perfil B,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJH,AD19,M,Profesional,NEG,86,1150,1,NO,Perfil B,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJI,AD19,F,Profesional,NEG,91.3,1260,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFJJ,AD19,M,Profesional,NEG,89.5,1140,1,NO,Perfil B,Si,0,0.25,18,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJFJK,AD19,M,Profesional,NEG,75,1370,1,NO,Perfil B,No,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFKB,AD19,M,Profesional,IIT,77.8,1300,1,NO,Perfil B,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJFKC,AD19,M,Profesional,IIT,87,1140,1,NO,Perfil B,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGHE,AD19,M,Profesional,NEG,87.83,1210,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGHF,AD19,M,Profesional,NEG,92.5,1340,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGHG,AD19,M,Profesional,IIT,84.1,1240,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGHH,AD19,M,Profesional,ICT,83.8,1240,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJGHI,AD19,F,Profesional,IBQ,91.87,1420,1,NO,Perfil A+,No,0.4,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJGHJ,AD19,F,Profesional,ICI,90,1330,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,No aplica
CBDJGHK,AD19,F,Profesional,NEG,81,1300,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGIB,AD19,M,Profesional,ICT,98.7,1430,1,NO,Perfil A+,No,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CBDJGIC,AD19,M,Profesional,IIT,90,1380,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGID,AD19,F,Profesional,NEG,89.35,1350,1,NO,Perfil A,Si,0,0,19,4,Bajo,Urbano,No,No,No,Foraneo Local,No aplica
CBDJGIE,AD19,M,Profesional,IIT,88,1450,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGIF,AD19,M,Profesional,NEG,85,1250,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CBDJGIG,AD19,M,Profesional,NEG,81,1440,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGIH,AD19,F,Profesional,ICI,93,1450,1,NO,Perfil A+,Si,0,0,18,4,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGII,AD19,F,Profesional,IIT,86,1330,1,NO,Perfil A,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGIJ,AD19,M,Profesional,CIS,87.6,1470,1,NO,Perfil A,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CBDJGIK,AD19,F,Profesional,ICI,100,1490,1,NO,Perfil A+,No,0.6,0,19,Sin información,Sin información,Sin información,Si,No,Sin información,Foraneo Local,No aplica
