Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,322.220001,323.149994,321.019989,321.049988,310.764374,731200
2018-01-02,322.000000,322.619995,317.500000,318.540009,308.334839,1189600
2018-01-03,318.980011,321.519989,318.630005,321.209991,310.919250,893400
2018-01-04,321.190002,326.899994,320.989990,326.720001,316.252716,1443000
2018-01-05,325.989990,330.179993,325.980011,329.679993,319.117920,1241100
2018-01-08,328.959991,330.410004,327.809998,328.160004,317.646606,1084500
2018-01-09,329.000000,331.829987,328.420013,330.510010,319.921326,865400
2018-01-10,331.070007,333.739990,330.010010,331.049988,320.444031,1504600
2018-01-11,331.850006,332.079987,330.160004,331.130005,320.521484,1152000
2018-01-12,331.350006,336.350006,331.029999,336.250000,325.477417,1428100
2018-01-16,336.350006,336.670013,330.000000,330.109985,319.534119,1374900
2018-01-17,331.459991,335.739990,330.320007,334.859985,324.131927,998200
2018-01-18,334.109985,335.920013,332.989990,333.000000,322.331543,973200
2018-01-19,334.239990,334.890015,331.779999,332.000000,321.363617,1511800
2018-01-22,331.769989,332.700012,328.970001,329.000000,318.459686,1463000
2018-01-23,329.989990,331.149994,328.510010,328.700012,318.169312,1066200
2018-01-24,328.869995,332.480011,327.420013,330.489990,319.901947,1360200
2018-01-25,331.040009,335.190002,330.209991,334.720001,323.996460,1782900
2018-01-26,336.869995,345.109985,334.739990,344.899994,333.850311,2057300
2018-01-29,350.000000,354.320007,342.149994,351.420013,340.161438,2881100
2018-01-30,346.519989,352.720001,345.049988,350.390015,339.164459,2032900
2018-01-31,353.279999,358.519989,352.450012,354.850006,343.481506,1887200
2018-02-01,354.260010,361.790009,354.010010,357.380005,345.930481,1579700
2018-02-02,355.000000,358.000000,351.519989,352.660004,341.361725,1958600
2018-02-05,348.630005,353.989990,326.109985,336.459991,325.680725,2947100
2018-02-06,328.709991,340.010010,327.230011,337.589996,326.774506,2603000
2018-02-07,338.290009,350.339996,337.820007,345.429993,334.363312,2052900
2018-02-08,350.209991,350.989990,334.010010,334.299988,323.589874,2627600
2018-02-09,338.100006,344.880005,332.250000,341.420013,330.481812,2366600
2018-02-12,344.540009,348.470001,340.100006,345.809998,334.731171,1829200
2018-02-13,345.200012,351.059998,344.510010,350.230011,339.009552,1279300
2018-02-14,348.809998,355.390015,348.200012,354.660004,343.297638,1652100
2018-02-15,357.399994,361.019989,354.739990,361.000000,349.434479,1167600
2018-02-16,361.000000,363.000000,357.839996,360.529999,348.979553,1084800
2018-02-20,359.149994,362.670013,357.230011,358.690002,347.198486,1102600
2018-02-21,359.000000,362.980011,357.000000,357.059998,345.620697,1391000
2018-02-22,358.440002,358.970001,354.510010,355.410004,344.023590,1432700
2018-02-23,356.250000,358.690002,353.839996,358.690002,347.198486,902500
2018-02-26,360.000000,361.320007,357.079987,358.700012,347.208191,1156300
2018-02-27,359.350006,362.320007,358.089996,358.170013,346.695160,1379700
2018-02-28,357.359985,359.200012,352.420013,352.440002,343.064362,988400
2018-03-01,352.459991,353.579987,337.579987,339.690002,330.653534,2307100
2018-03-02,337.500000,342.850006,335.049988,341.720001,332.629578,1684100
2018-03-05,339.829987,342.779999,337.619995,342.359985,333.252502,1812400
