Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,255.869995,256.649994,252.910004,254.759995,250.287659,2519300
2018-01-02,257.769989,257.910004,253.919998,255.669998,251.181702,2258300
2018-01-03,255.479996,256.140015,253.220001,253.289993,248.843491,2988200
2018-01-04,255.229996,259.720001,254.320007,256.829987,252.321304,2583200
2018-01-05,257.179993,257.489990,253.690002,255.520004,251.034332,2594700
2018-01-08,254.750000,255.179993,251.619995,251.809998,247.389465,2940500
2018-01-09,252.800003,255.600006,252.619995,253.940002,249.482086,2637300
2018-01-10,255.000000,255.149994,252.350006,254.330002,249.865219,2927200
2018-01-11,255.750000,255.889999,252.970001,255.130005,250.651199,2422400
2018-01-12,255.750000,257.299988,254.089996,257.029999,252.517822,2849200
2018-01-16,259.250000,261.769989,256.399994,258.459991,253.922714,4445500
2018-01-17,260.980011,262.000000,248.839996,253.649994,249.197159,8595400
2018-01-18,254.490005,254.539993,250.600006,250.970001,246.564209,4984500
2018-01-19,251.000000,256.140015,250.259995,256.119995,251.623810,4643400
2018-01-22,255.449997,262.869995,255.190002,261.519989,256.928986,5264700
2018-01-23,258.000000,260.260010,256.850006,260.089996,255.524063,4003600
2018-01-24,260.739990,265.779999,260.299988,265.679993,261.015991,4314000
2018-01-25,266.350006,270.500000,265.010010,269.029999,264.307159,5055000
2018-01-26,267.489990,269.000000,266.049988,268.140015,263.432800,3535400
2018-01-29,269.040009,273.790009,268.809998,272.480011,267.696625,3881100
2018-01-30,270.390015,272.000000,267.109985,268.940002,264.218750,3970400
2018-01-31,268.549988,270.000000,266.329987,267.890015,263.187225,3710200
2018-02-01,266.149994,272.589996,266.000000,272.230011,267.450989,3388200
2018-02-02,270.000000,271.750000,259.350006,260.040009,255.475006,5913900
2018-02-05,257.510010,263.299988,241.500000,249.110001,244.736862,6528500
2018-02-06,244.210007,258.750000,242.110001,258.700012,254.158539,6739900
2018-02-07,255.899994,261.950012,255.660004,257.100006,252.586609,4125000
2018-02-08,257.929993,258.779999,246.050003,246.350006,242.025314,4166200
2018-02-09,249.619995,251.669998,239.289993,249.300003,244.923523,5978600
2018-02-12,251.149994,256.149994,248.820007,253.160004,248.715775,3692500
2018-02-13,252.009995,256.399994,250.580002,255.529999,251.044159,2700500
2018-02-14,255.000000,262.709991,254.479996,262.579987,257.970398,3793800
2018-02-15,265.760010,268.000000,262.910004,267.679993,262.980835,3523100
2018-02-16,265.989990,269.279999,265.899994,267.619995,262.921906,2602500
2018-02-20,266.890015,268.850006,263.309998,264.890015,260.239899,2618400
2018-02-21,263.920013,270.000000,263.130005,263.399994,258.775970,3017900
2018-02-22,264.399994,266.320007,260.720001,261.429993,256.840576,2678900
2018-02-23,263.000000,266.980011,262.399994,266.769989,262.086823,2507100
2018-02-26,267.500000,271.779999,266.769989,271.260010,266.498047,2751400
2018-02-27,271.000000,273.119995,267.929993,267.929993,263.226440,3140600
